 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
 5 ; 1 ; 1    ;    1234  ;  5678  
 6 ; 3 ;   3  ;      2345 ;   4567 
 7 ; 2  ; 4 ;       7856  ;  3458  
 8  ; 4 ; 1 ;       5678   ; 3490 
 9 ; 5 ; 7     ;   1278  ;  4601  
 10  ; 1 ;  4     ;   3048   ; 1982  
 11 ; 3  ; 3      ;  4505  ;  6677  
