 5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
5 ; 15 ; 1    ;    1234  ;  5678  ; 40
 6 ; 3 ;   3  ;      2345 ;   4567 ;  70
 7 ; 6  ; 4 ;       7856  ;  3458   ; 100
 8  ; 11 ; 1 ;       5678   ; 3490 ;  150
 9 ; 12 ; 7     ;   1278  ;  4601  ; 200
 10  ; 7 ;  4     ;   3048   ; 1982  ; 60
 11 ; 8  ; 3      ;  4505  ;  6677  ; 120
